HDI_ranking;COUNTRY;"Human_development_index_(HDI)_value
2005";"Life_expectancy_at_birth
(years)
2005";"Adult_literacy_rate
(% aged 15 and above)
1995-2005b";"Adult_literacy_rate
(% aged 15 and above)
1995-2005b";"Combined_gross_enrolment_ratio_for_primary_secondary_and_tertiary_education
(%)
2005";"GDP_per_capita
(PPP US$)
2005";Life_expectancy_index;Education_index;GDP_index;GDP_per capita_rank_minus_HDI_rankc
69;Macedonia (TFYR);0.801;73.8;96.1;;70.1;7,2;0.814;0.875;0.714;11
70;Brazil;0.800;71.7;88.6;;87.5;8,402;0.779;0.883;0.740;-3
71;Dominica;0.798;75.6;88.0;q;81.0;6,393;0.844;0.857;0.694;19
72;Saint Lucia;0.795;73.1;94.8;q;74.8;6,707;0.802;0.881;0.702;15
73;Kazakhstan;0.794;65.9;99.5;d;93.8;7,857;0.682;0.973;0.728;1
74;Venezuela (Bolivarian Republic of);0.792;73.2;93.0;;75.5;6,632;0.804;0.872;0.700;14
75;Colombia;0.791;72.3;92.8;;75.1;7,304;0.788;0.869;0.716;4
76;Ukraine;0.788;67.7;99.4;d;86.5;6,848;0.711;0.948;0.705;9
77;Samoa;0.785;70.8;98.6;l;73.7;6,17;0.763;0.903;0.688;14
78;Thailand;0.781;69.6;92.6;;71.2;8,677;0.743;0.855;0.745;-13
79;Dominican Republic;0.779;71.5;87.0;;74.1;8,217;0.776;0.827;0.736;-10
80;Belize;0.778;75.9;75.1;q;81.8;7,109;0.849;0.773;0.712;1
81;China;0.777;72.5;90.9;;69.1;6,757;0.792;0.837;0.703;5
82;Grenada;0.777;68.2;96.0;q;73.1;7,843;0.720;0.884;0.728;-7
83;Armenia;0.775;71.7;99.4;d;70.8;4,945;0.779;0.896;0.651;20
84;Turkey;0.775;71.4;87.4;;68.7;8,407;0.773;0.812;0.740;-18
85;Suriname;0.774;69.6;89.6;;77.1;7,722;0.743;0.854;0.725;-9
86;Jordan;0.773;71.9;91.1;;78.1;5,53;0.782;0.868;0.670;11
87;Peru;0.773;70.7;87.9;;85.8;6,039;0.761;0.872;0.684;6
88;Lebanon;0.772;71.5;..;j;84.6;5,584;0.775;0.871;0.671;8
89;Ecuador;0.772;74.7;91.0;;..;4,341;0.828;0.858;0.629;21
